Date,Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,Total DHI,Total DNI,Total Clearsky GHI,Total Clearsky DHI,Total Clearsky DNI,Daylight Weather,time_idx,RMM2,MJO Amplitude,avg_temp_by_month,avg_humidity_by_month,weather
1-25-2000,2000,1,25,0.23076923076923084,0.2515723270440251,0.021052631578947364,0.03305785123966953,0.12051282051282053,0.7722772277227747,0.08695652173913038,0.19791666666666652,0.20430107526881724,0.5221250158488653,1375.0,5972.0,5608.0,663.0,9152.0,Clear,24.0,-0.43237,0.54768,21.0,63.1,Clear
1-26-2000,2000,1,26,0.20879120879120894,0.30817610062893075,0.2368421052631579,0.22314049586776874,0.3948717948717946,0.8712871287128721,0.19565217391304346,0.13541666666666652,0.23655913978494625,0.2090782299987321,2074.0,131.0,5401.0,981.0,7998.0,Partly Cloudy,25.0,-0.7464,0.77836,20.8,73.8,Partly Cloudy
1-27-2000,2000,1,27,0.20879120879120894,0.32704402515723285,0.3210526315789474,0.1322314049586779,0.2666666666666666,0.9950495049504937,0.02173913043478254,0.15625,0.19354838709677424,0.46976036515785474,1782.0,4174.0,5621.0,931.0,8330.0,Clear,26.0,-0.67005,0.82237,20.8,68.8,Clear
1-28-2000,2000,1,28,0.2637362637362637,0.2767295597484276,0.28421052631578947,0.23140495867768607,0.3435897435897435,0.9405940594059459,0.10869565217391303,0.20833333333333348,0.26881720430107525,0.5359452263217954,1420.0,4942.0,5590.0,923.0,8264.0,Clear,27.0,-0.60935,0.77735,21.3,71.8,Clear
1-29-2000,2000,1,29,0.3296703296703294,0.25786163522012573,0.10000000000000002,0.24793388429752072,0.3025641025641026,0.8415841584158485,0.08695652173913038,0.3125,0.3118279569892477,0.5618105743628756,1230.0,6600.0,5726.0,687.0,9094.0,Clear,28.0,-0.58761,0.66048,21.9,70.2,Clear
1-30-2000,2000,1,30,0.3846153846153846,0.23899371069182385,0.09473684210526316,0.24793388429752072,0.2512820512820513,0.777227722772281,0.13043478260869557,0.38541666666666696,0.32258064516129026,0.6276150627615062,993.0,7385.0,5746.0,686.0,9090.0,Clear,29.0,-0.52445,0.52624,22.4,68.2,Clear
1-31-2000,2000,1,31,0.4065934065934065,0.2515723270440251,0.11052631578947371,0.5041322314049588,0.5974358974358973,0.8118811881188179,0.2826086956521739,0.4166666666666665,0.32258064516129026,0.6380119183466464,705.0,8283.0,5648.0,716.0,8820.0,Clear,30.0,-0.99717,1.02025,22.6,81.7,Clear
2-1-2000,2000,2,1,0.4065934065934065,0.2767295597484276,0.10526315789473685,0.4462809917355375,0.5179487179487177,0.851485148514854,0.32608695652173897,0.38541666666666696,0.38709677419354827,0.6302776721186764,787.0,7990.0,5657.0,766.0,8689.0,Clear,31.0,-1.00025,1.0281,22.6,78.6,Clear
2-2-2000,2000,2,2,0.4505494505494503,0.32704402515723285,0.08421052631578947,0.2892561983471076,0.2564102564102564,0.7475247524752504,0.2608695652173913,0.4270833333333335,0.39784946236559127,0.5102066692024851,1531.0,5874.0,5711.0,743.0,8834.0,Clear,32.0,-1.25035,1.26035,23.0,68.4,Clear
2-3-2000,2000,2,3,0.43956043956043933,0.3647798742138366,0.08421052631578947,0.4132231404958677,0.428205128205128,0.6584158415841586,0.3043478260869565,0.3958333333333335,0.40860215053763427,0.31139850386712314,1669.0,2896.0,5701.0,755.0,8760.0,Clear,33.0,-1.05114,1.07194,22.9,75.1,Clear
2-4-2000,2000,2,4,0.39560439560439553,0.30817610062893075,0.15263157894736845,0.4132231404958677,0.464102564102564,0.6534653465346523,0.3043478260869565,0.3541666666666665,0.37634408602150526,0.3787244833269938,1855.0,3054.0,5726.0,824.0,8607.0,Partly Cloudy,34.0,-1.23088,1.29147,22.5,76.5,Partly Cloudy
2-5-2000,2000,2,5,0.43956043956043933,0.270440251572327,0.1631578947368421,0.3801652892561984,0.3717948717948718,0.6287128712871279,0.2608695652173913,0.4270833333333335,0.40860215053763427,0.4228477241029543,2040.0,3894.0,5805.0,815.0,8695.0,Clear,35.0,-1.03781,1.2279,22.9,72.9,Clear
2-6-2000,2000,2,6,0.43956043956043933,0.2515723270440251,0.21578947368421053,0.3471074380165289,0.3435897435897435,0.6584158415841586,0.19565217391304346,0.4270833333333335,0.39784946236559127,0.5878027133257259,1848.0,6196.0,5890.0,808.0,8799.0,Clear,36.0,-0.56478,0.82999,22.9,71.8,Clear
2-7-2000,2000,2,7,0.4505494505494503,0.2767295597484276,0.10000000000000002,0.30578512396694224,0.2717948717948717,0.7673267326732685,0.17391304347826086,0.4375,0.34408602150537626,0.5107138328895651,1004.0,5931.0,5968.0,683.0,9213.0,Clear,37.0,-0.08171,0.76111,23.0,69.0,Clear
2-8-2000,2000,2,8,0.4725274725274722,0.358490566037736,0.15263157894736845,0.4462809917355375,0.4487179487179487,0.831683168316836,0.2391304347826086,0.4791666666666665,0.34408602150537626,0.6266007353873463,1378.0,7482.0,5901.0,804.0,8803.0,Clear,38.0,0.00833,0.66073,23.2,75.9,Clear
2-9-2000,2000,2,9,0.37362637362637363,0.4213836477987418,0.17368421052631583,0.43801652892561993,0.5333333333333334,0.8415841584158485,0.3478260869565217,0.28125000000000044,0.3655913978494627,0.41346519589197417,2481.0,2286.0,5828.0,848.0,8543.0,Cloudy,39.0,0.00665,0.36173,22.3,79.2,Cloudy
2-10-2000,2000,2,10,0.37362637362637363,0.408805031446541,0.08421052631578947,0.3471074380165289,0.405128205128205,0.7524752475247567,0.2608695652173913,0.375,0.3118279569892477,0.6560162292379866,1208.0,7657.0,5992.0,747.0,9014.0,Clear,40.0,0.19783,0.20041,22.3,74.2,Clear
2-11-2000,2000,2,11,0.4615384615384617,0.358490566037736,0.21578947368421053,0.3719008264462811,0.34615384615384626,0.6930693069306955,0.2608695652173913,0.4375,0.39784946236559127,0.4007861037149741,2084.0,3172.0,5987.0,863.0,8683.0,Partly Cloudy,41.0,0.34729,0.47211,23.1,71.9,Partly Cloudy
